Product Name,Lock Period,Call Center Price,Rate,Investor Pricing,Srp
10000.15.001,75,N/A,2.99,N/A,1.735770913
10000.15.001,75,N/A,3.125,N/A,2.147851605
10000.15.001,75,94.883,3.25,99.64507376,0.487190855
10000.15.001,75,95.122,3.375,100.2027429,1.040860001
10000.15.001,75,95.632,3.5,100.7387135,1.573830624
10000.15.001,75,96.253,3.625,101.2816304,2.118747524
10000.15.001,75,97.248,3.75,101.516496,0.475151874
10000.15.001,75,97.626,3.875,102.0513414,1.024997289
10000.15.001,75,98.01,3.99,102.5626528,1.537308689
10000.15.001,75,99.007,4.125,103.0693941,2.033049981
10000.15.001,75,99.133,4.25,102.5087892,0.4536976
10000.15.001,75,99.251,4.375,103.0194418,0.968350162
10000.15.001,75,99.753,4.5,103.4296659,1.377574323
10000.15.001,75,99.866,4.625,103.8752339,1.833142339
10000.15.002,15,N/A,2.25,N/A,N/A
10000.15.002,15,N/A,2.375,N/A,N/A
10000.15.002,15,N/A,2.5,N/A,N/A
10000.15.002,15,N/A,2.625,N/A,N/A
10000.15.002,15,N/A,2.75,N/A,N/A
10000.15.002,15,N/A,2.875,N/A,N/A
10000.15.002,15,N/A,2.99,N/A,0.215000034
10000.15.002,15,N/A,3.125,N/A,0.297849957
10000.15.002,15,94.621,3.25,98.95817612,-0.713706786
10000.15.002,15,95.115,3.375,99.20182999,-0.477052917
10000.15.002,15,95.51,3.5,99.40540407,-0.254478832
10000.15.002,15,95.997,3.625,99.62233248,-0.045550425
10000.15.002,15,96.494,3.75,100.6925248,-0.837819275
10000.15.002,15,97.008,3.875,100.904338,-0.636006075
10000.15.002,15,97.247,3.99,101.1061843,-0.435159844
10000.15.002,15,97.869,4.125,101.277059,-0.263285121
10000.15.002,30,N/A,2.25,N/A,N/A
10000.15.002,30,N/A,2.375,N/A,N/A
10000.15.002,30,N/A,2.5,N/A,N/A
10000.15.002,30,N/A,2.625,N/A,N/A
10000.15.002,30,N/A,2.75,N/A,N/A
10000.15.002,30,N/A,2.875,N/A,N/A
10000.15.002,30,N/A,2.99,N/A,0.213000034
10000.15.002,30,N/A,3.125,N/A,0.298849957
10000.15.002,30,94.51,3.25,98.82317612,-0.716706786
10000.15.002,30,94.997,3.375,99.05882999,-0.474052917
10000.15.002,30,95.383,3.5,99.27740407,-0.251478832
10000.15.002,30,95.872,3.625,99.50533248,-0.037550425
10000.15.002,30,96.382,3.75,100.5715248,-0.834819275
10000.15.002,30,96.880,3.875,100.791338,-0.622006075
10000.15.002,30,97.134,3.99,100.9751843,-0.430159844
10000.15.002,30,97.749,4.125,101.147059,-0.268285121
10000.15.002,35,N/A,2.25,N/A,N/A
10000.15.002,35,N/A,2.375,N/A,N/A
10000.15.002,35,N/A,2.5,N/A,N/A
10000.15.002,35,N/A,2.625,N/A,N/A
10000.15.002,35,N/A,2.75,N/A,N/A
10000.15.002,35,N/A,2.875,N/A,N/A
10000.15.002,35,N/A,2.99,N/A,0.221000034
10000.15.002,35,N/A,3.125,N/A,0.293849957
10000.15.002,35,94.453,3.25,98.77917612,-0.702706786
10000.15.002,35,94.949,3.375,99.01982999,-0.462052917
10000.15.002,35,95.333,3.5,99.25040407,-0.255478832
10000.15.002,35,95.839,3.625,99.44433248,-0.053550425
10000.15.002,35,96.328,3.75,100.5255248,-0.839819275
10000.15.002,35,96.826,3.875,100.749338,-0.631006075
10000.15.002,35,97.091,3.99,100.9341843,-0.440159844
10000.15.002,35,97.718,4.125,101.120059,-0.254285121
10000.15.002,40,N/A,2.25,N/A,N/A
10000.15.002,40,N/A,2.375,N/A,N/A
10000.15.002,40,N/A,2.5,N/A,N/A
10000.15.002,40,N/A,2.625,N/A,N/A
10000.15.002,40,N/A,2.75,N/A,N/A
10000.15.002,40,N/A,2.875,N/A,N/A
10000.15.002,40,N/A,2.99,N/A,0.213000034
10000.15.002,40,N/A,3.125,N/A,0.306849957
10000.15.002,40,94.413,3.25,98.74117612,-0.706706786
10000.15.002,40,94.916,3.375,98.97382999,-0.481052917
10000.15.002,40,95.289,3.5,99.19440407,-0.258478832
10000.15.002,40,95.798,3.625,99.40633248,-0.044550425
10000.15.002,40,96.282,3.75,100.4995248,-0.843819275
10000.15.002,40,96.783,3.875,100.695338,-0.616006075
10000.15.002,40,97.045,3.99,100.8991843,-0.435159844
10000.15.002,40,97.671,4.125,101.078059,-0.258285121
10000.15.002,45,N/A,2.25,N/A,N/A
10000.15.002,45,N/A,2.375,N/A,N/A
10000.15.002,45,N/A,2.5,N/A,N/A
10000.15.002,45,N/A,2.625,N/A,N/A
10000.15.002,45,N/A,2.75,N/A,N/A
10000.15.002,45,N/A,2.875,N/A,N/A
10000.15.002,45,N/A,2.99,N/A,0.217000034
10000.15.002,45,N/A,3.125,N/A,0.310849957
10000.15.002,45,94.367,3.25,98.70717612,-0.701706786
10000.15.002,45,94.871,3.375,98.93682999,-0.481052917
10000.15.002,45,95.251,3.5,99.16540407,-0.248478832
10000.15.002,45,95.745,3.625,99.36333248,-0.037550425
10000.15.002,45,96.254,3.75,100.4585248,-0.837819275
10000.15.002,45,96.743,3.875,100.653338,-0.623006075
10000.15.002,45,97.009,3.99,100.8491843,-0.440159844
10000.15.002,45,97.633,4.125,101.021059,-0.267285121
10000.15.002,60,N/A,2.25,N/A,N/A
10000.15.002,60,N/A,2.375,N/A,N/A
10000.15.002,60,N/A,2.5,N/A,N/A
10000.15.002,60,N/A,2.625,N/A,N/A
10000.15.002,60,N/A,2.75,N/A,N/A
10000.15.002,60,N/A,2.875,N/A,N/A
10000.15.002,60,N/A,2.99,N/A,0.219000034
10000.15.002,60,N/A,3.125,N/A,0.310849957
10000.15.002,60,94.26,3.25,98.58717612,-0.714706786
10000.15.002,60,94.753,3.375,98.81582999,-0.481052917
10000.15.002,60,95.131,3.5,99.03240407,-0.241478832
10000.15.002,60,95.632,3.625,99.24033248,-0.036550425
10000.15.002,60,96.126,3.75,100.3165248,-0.831819275
10000.15.002,60,96.623,3.875,100.534338,-0.635006075
10000.15.002,60,96.885,3.99,100.7251843,-0.439159844
10000.15.002,60,97.505,4.125,100.897059,-0.263285121
10000.15.002,75,N/A,2.25,N/A,N/A
10000.15.002,75,N/A,2.375,N/A,N/A
10000.15.002,75,N/A,2.5,N/A,N/A
10000.15.002,75,N/A,2.625,N/A,N/A
10000.15.002,75,N/A,2.75,N/A,N/A
10000.15.002,75,N/A,2.875,N/A,N/A
10000.15.002,75,N/A,2.99,N/A,0.215000034
10000.15.002,75,N/A,3.125,N/A,0.296849957
10000.15.002,75,94.126,3.25,98.45517612,-0.706706786
10000.15.002,75,94.619,3.375,98.69282999,-0.467052917
10000.15.002,75,94.999,3.5,98.91040407,-0.259478832
10000.15.002,75,95.504,3.625,99.11833248,-0.033550425
10000.15.002,75,96.006,3.75,100.1895248,-0.849819275
10000.15.002,75,96.498,3.875,100.422338,-0.621006075
10000.15.002,75,96.758,3.99,100.5981843,-0.442159844
10000.15.002,75,97.381,4.125,100.778059,-0.252285121
10000.20.001,15,97.625,4.25,102.6875137,0.771648675
10000.20.001,15,98.25,4.375,103.2994578,1.395592796
10000.20.001,15,99.005,4.5,103.90298,2.006114975
10000.20.001,15,99.246,4.625,104.3634538,2.460588746
10000.20.001,15,99.379,4.75,104.0357634,0.752091215
10000.20.001,15,100,4.875,104.5277119,1.249039691
10000.20.001,15,100.243,4.99,104.8316843,1.55901208
10000.20.001,15,100.51,5.125,105.381631,2.10395873
10000.20.001,15,100.634,5.25,104.6517911,0.768979239
10000.20.001,15,100.755,5.375,105.0408895,1.147077674
10000.20.001,15,100.873,5.5,105.2560016,1.376189759
10000.20.001,15,100.992,5.625,105.5753516,1.678539774
10000.20.001,15,101.126,5.75,105.8670531,0.585303133
10000.20.001,15,101.757,5.875,106.1762478,0.890497841
10000.20.001,15,102,5.99,106.5594755,1.260725549
10000.20.001,15,N/A,6.125,N/A,1.433294924
10000.20.001,30,97.505,4.25,102.5575137,0.774648675
10000.20.001,30,98.124,4.375,103.1694578,1.407592796
10000.20.001,30,98.884,4.5,103.77298,1.990114975
10000.20.001,30,99.131,4.625,104.2304538,2.470588746
10000.20.001,30,99.244,4.75,103.8997634,0.760091215
10000.20.001,30,99.876,4.875,104.3987119,1.253039691
10000.20.001,30,100.126,4.99,104.7096843,1.57101208
10000.20.001,30,100.368,5.125,105.266631,2.09895873
10000.20.001,30,100.505,5.25,104.5397911,0.759979239
10000.20.001,30,100.622,5.375,104.9128895,1.143077674
10000.20.001,30,100.75,5.5,105.1380016,1.375189759
10000.20.001,30,100.873,5.625,105.4463516,1.666539774
10000.20.001,30,100.999,5.75,105.7490531,0.567303133
10000.20.001,30,101.627,5.875,106.0362478,0.872497841
10000.20.001,30,101.884,5.99,106.4344755,1.262725549
10000.20.001,30,N/A,6.125,N/A,1.439294924
10000.20.001,35,97.456,4.25,102.5155137,0.771648675
10000.20.001,35,98.079,4.375,103.1334578,1.410592796
10000.20.001,35,98.832,4.5,103.72198,2.003114975
10000.20.001,35,99.084,4.625,104.2044538,2.459588746
10000.20.001,35,99.212,4.75,103.8617634,0.754091215
10000.20.001,35,99.835,4.875,104.3587119,1.262039691
10000.20.001,35,100.079,4.99,104.6786843,1.57601208
10000.20.001,35,100.340,5.125,105.218631,2.11095873
10000.20.001,35,100.449,5.25,104.4877911,0.759979239
10000.20.001,35,100.593,5.375,104.8688895,1.151077674
10000.20.001,35,100.703,5.5,105.1060016,1.369189759
10000.20.001,35,100.842,5.625,105.4033516,1.678539774
10000.20.001,35,100.952,5.75,105.7070531,0.579303133
10000.20.001,35,101.583,5.875,106.0122478,0.879497841
10000.20.001,35,101.834,5.99,106.3734755,1.255725549
10000.20.001,35,N/A,6.125,N/A,1.427294924
10000.20.001,40,97.411,4.25,102.4725137,0.772648675
10000.20.001,40,98.042,4.375,103.0924578,1.409592796
10000.20.001,40,98.795,4.5,103.69198,2.003114975
10000.20.001,40,99.043,4.625,104.1474538,2.466588746
10000.20.001,40,99.161,4.75,103.8147634,0.756091215
10000.20.001,40,99.790,4.875,104.3107119,1.246039691
10000.20.001,40,100.036,4.99,104.6416843,1.57201208
10000.20.001,40,100.296,5.125,105.181631,2.11395873
10000.20.001,40,100.413,5.25,104.4477911,0.756979239
10000.20.001,40,100.547,5.375,104.8408895,1.150077674
10000.20.001,40,100.661,5.5,105.0560016,1.367189759
10000.20.001,40,100.798,5.625,105.3533516,1.680539774
10000.20.001,40,100.923,5.75,105.6580531,0.586303133
10000.20.001,40,101.537,5.875,105.9542478,0.882497841
10000.20.001,40,101.782,5.99,106.3504755,1.261725549
